T,T-CA,T-CA-CA_3,T-CA-CA_3-FOODS,T-CA-CA_3-FOODS-FOODS_3,T-CA-CA_3-FOODS-FOODS_3-FOODS_3_090
T,T-TX,T-TX-TX_2,T-TX-TX_2-FOODS,T-TX-TX_2-FOODS-FOODS_3,T-TX-TX_2-FOODS-FOODS_3-FOODS_3_586
T,T-CA,T-CA-CA_3,T-CA-CA_3-FOODS,T-CA-CA_3-FOODS-FOODS_3,T-CA-CA_3-FOODS-FOODS_3-FOODS_3_120
T,T-CA,T-CA-CA_3,T-CA-CA_3-FOODS,T-CA-CA_3-FOODS-FOODS_3,T-CA-CA_3-FOODS-FOODS_3-FOODS_3_586
T,T-TX,T-TX-TX_3,T-TX-TX_3-FOODS,T-TX-TX_3-FOODS-FOODS_3,T-TX-TX_3-FOODS-FOODS_3-FOODS_3_586
T,T-WI,T-WI-WI_3,T-WI-WI_3-FOODS,T-WI-WI_3-FOODS-FOODS_3,T-WI-WI_3-FOODS-FOODS_3-FOODS_3_090
T,T-TX,T-TX-TX_3,T-TX-TX_3-FOODS,T-TX-TX_3-FOODS-FOODS_3,T-TX-TX_3-FOODS-FOODS_3-FOODS_3_090
T,T-TX,T-TX-TX_2,T-TX-TX_2-FOODS,T-TX-TX_2-FOODS-FOODS_3,T-TX-TX_2-FOODS-FOODS_3-FOODS_3_252
T,T-TX,T-TX-TX_2,T-TX-TX_2-FOODS,T-TX-TX_2-FOODS-FOODS_3,T-TX-TX_2-FOODS-FOODS_3-FOODS_3_090
T,T-TX,T-TX-TX_1,T-TX-TX_1-FOODS,T-TX-TX_1-FOODS-FOODS_3,T-TX-TX_1-FOODS-FOODS_3-FOODS_3_586
T,T-CA,T-CA-CA_1,T-CA-CA_1-FOODS,T-CA-CA_1-FOODS-FOODS_3,T-CA-CA_1-FOODS-FOODS_3-FOODS_3_090
T,T-WI,T-WI-WI_3,T-WI-WI_3-FOODS,T-WI-WI_3-FOODS-FOODS_3,T-WI-WI_3-FOODS-FOODS_3-FOODS_3_226
T,T-TX,T-TX-TX_1,T-TX-TX_1-FOODS,T-TX-TX_1-FOODS-FOODS_3,T-TX-TX_1-FOODS-FOODS_3-FOODS_3_090
T,T-WI,T-WI-WI_2,T-WI-WI_2-FOODS,T-WI-WI_2-FOODS-FOODS_1,T-WI-WI_2-FOODS-FOODS_1-FOODS_1_096
T,T-TX,T-TX-TX_2,T-TX-TX_2-FOODS,T-TX-TX_2-FOODS-FOODS_3,T-TX-TX_2-FOODS-FOODS_3-FOODS_3_555
T,T-CA,T-CA-CA_3,T-CA-CA_3-FOODS,T-CA-CA_3-FOODS-FOODS_3,T-CA-CA_3-FOODS-FOODS_3-FOODS_3_252
T,T-WI,T-WI-WI_3,T-WI-WI_3-FOODS,T-WI-WI_3-FOODS-FOODS_3,T-WI-WI_3-FOODS-FOODS_3-FOODS_3_694
T,T-TX,T-TX-TX_3,T-TX-TX_3-FOODS,T-TX-TX_3-FOODS-FOODS_3,T-TX-TX_3-FOODS-FOODS_3-FOODS_3_252
T,T-TX,T-TX-TX_3,T-TX-TX_3-FOODS,T-TX-TX_3-FOODS-FOODS_3,T-TX-TX_3-FOODS-FOODS_3-FOODS_3_377
T,T-CA,T-CA-CA_2,T-CA-CA_2-FOODS,T-CA-CA_2-FOODS-FOODS_3,T-CA-CA_2-FOODS-FOODS_3-FOODS_3_252
